1, 2, Germany, 1411,A,C,
2, 3, Belgium, 1244,A,H,
3, 5, Holland, 1204,A,A,
4, 7, Portugal, 1177,A,B,
5, 8, Romania, 1166,A,E,
6, 9, England, 1157,A,F,
7, 10, Wales  , 1155,A,D,
8, 12, Spain, 1110,A,G,
9, 14, Croatia, 1023,A,I,
10, 15, Slovakia, 1016,B,F,
11, 15, Austria, 1016,B,D,
12, 17, Italy, 1001,B,G,
13, 18, Switzerland, 997,B,B,
14, 20, Czech Republic, 933,B,C,
15, 22, France, 882,B,A,
16, 23, Iceland, 877,B,I,
17, 24, Denmark, 876,B,E,
18, 26, Bosnia, 819,B,H,
19, 27, Ukraine, 791,C,I
20, 29, Scotland, 774,C,F,
21, 30, Poland, 769,C,E,
22, 31, Hungary, 763,C,B,
23, 33, Sweden, 752,C,A,
24, 36, Albania, 722,C,G,
25, 37, N.Ireland, 721,C,C,
26, 43, Serbia, 662,C,D,
27, 44, Greece, 661,C,H,
28, 48, Turkey, 627,D,I,
29, 49, Slovenia, 626,D,F, 
30, 51, Israel, 620,D,G,
31, 52, Ireland, 608,D,D,
32, 67, Norway, 495,D,C,
33, 68, Bulgaria, 489,D,A,
34, 74, Faroes, 456,D,B,
35, 81, Montenegro, 423,D,E,
36, 82, Estonia, 420,D,H,
37, 85, Cyprus, 391,E,H,
38, 87, Latvia, 377,E,B,
39, 89, Armenia, 373,E,E,
40, 90, Finland, 371,E,I
41, 100, Belrus, 341,E,A,
42, 105, FYRMacedonia, 311,E,G,
43, 108, Azerbijan, 302,E,G,
44, 110, Lithuania, 301,E,F,
45, 124, Moldova, 236,E,D,
46, 142, Kazakstan, 193,F,E,
47, 146, Luxembourg, 187,F,A,
48, 147, Liechtenstein, 182,F,G,
49, 153, Georgia, 165,F,D,
50, 158, Malta, 157,F,F,
51, 192, SanMarino, 40,F,C,
52, 202, Andora, 9,F,B,

